run_id;query_shape;driver;collection_size;depth;filter_count;phase;iteration;duration
4;collection collect all;postgres;100;1;0;build;12;187
4;collection collect all;postgres;100;1;0;exec;12;884
4;collection collect all;postgres;100;1;0;total;12;1071
4;collection collect all;mongo;100;1;0;build;12;2952
4;collection collect all;mongo;100;1;0;exec;12;2549
4;collection collect all;mongo;100;1;0;total;12;5501
4;collection collect all;neo4j;100;1;0;build;12;64
4;collection collect all;neo4j;100;1;0;exec;12;9037
4;collection collect all;neo4j;100;1;0;total;12;9102
4;collection collect all;postgres;100;1;0;build;13;112
4;collection collect all;postgres;100;1;0;exec;13;1015
4;collection collect all;postgres;100;1;0;total;13;1127
4;collection collect all;mongo;100;1;0;build;13;2891
4;collection collect all;mongo;100;1;0;exec;13;2497
4;collection collect all;mongo;100;1;0;total;13;5388
4;collection collect all;neo4j;100;1;0;build;13;63
4;collection collect all;neo4j;100;1;0;exec;13;10343
4;collection collect all;neo4j;100;1;0;total;13;10407
4;collection collect all;postgres;100;1;0;build;14;178
4;collection collect all;postgres;100;1;0;exec;14;1002
4;collection collect all;postgres;100;1;0;total;14;1181
4;collection collect all;mongo;100;1;0;build;14;2809
4;collection collect all;mongo;100;1;0;exec;14;2410
4;collection collect all;mongo;100;1;0;total;14;5219
4;collection collect all;neo4j;100;1;0;build;14;59
4;collection collect all;neo4j;100;1;0;exec;14;10146
4;collection collect all;neo4j;100;1;0;total;14;10206
4;collection collect all;postgres;100;1;0;build;15;115
4;collection collect all;postgres;100;1;0;exec;15;1261
4;collection collect all;postgres;100;1;0;total;15;1377
4;collection collect all;mongo;100;1;0;build;15;3075
4;collection collect all;mongo;100;1;0;exec;15;2686
4;collection collect all;mongo;100;1;0;total;15;5761
4;collection collect all;neo4j;100;1;0;build;15;59
4;collection collect all;neo4j;100;1;0;exec;15;10762
4;collection collect all;neo4j;100;1;0;total;15;10822
4;collection collect all;postgres;100;1;0;build;16;189
4;collection collect all;postgres;100;1;0;exec;16;855
4;collection collect all;postgres;100;1;0;total;16;1045
4;collection collect all;mongo;100;1;0;build;16;2623
4;collection collect all;mongo;100;1;0;exec;16;2212
4;collection collect all;mongo;100;1;0;total;16;4836
4;collection collect all;neo4j;100;1;0;build;16;65
4;collection collect all;neo4j;100;1;0;exec;16;9149
4;collection collect all;neo4j;100;1;0;total;16;9215
4;collection collect all;postgres;100;1;0;build;17;127
4;collection collect all;postgres;100;1;0;exec;17;1343
4;collection collect all;postgres;100;1;0;total;17;1471
4;collection collect all;mongo;100;1;0;build;17;3182
4;collection collect all;mongo;100;1;0;exec;17;2763
4;collection collect all;mongo;100;1;0;total;17;5945
4;collection collect all;neo4j;100;1;0;build;17;63
4;collection collect all;neo4j;100;1;0;exec;17;9425
4;collection collect all;neo4j;100;1;0;total;17;9488
4;collection collect all;postgres;100;1;0;build;18;122
4;collection collect all;postgres;100;1;0;exec;18;922
4;collection collect all;postgres;100;1;0;total;18;1044
4;collection collect all;mongo;100;1;0;build;18;3126
4;collection collect all;mongo;100;1;0;exec;18;2704
4;collection collect all;mongo;100;1;0;total;18;5831
4;collection collect all;neo4j;100;1;0;build;18;57
4;collection collect all;neo4j;100;1;0;exec;18;9484
4;collection collect all;neo4j;100;1;0;total;18;9541
4;collection collect all;postgres;100;1;0;build;19;139
4;collection collect all;postgres;100;1;0;exec;19;1001
4;collection collect all;postgres;100;1;0;total;19;1141
4;collection collect all;mongo;100;1;0;build;19;3335
4;collection collect all;mongo;100;1;0;exec;19;2889
4;collection collect all;mongo;100;1;0;total;19;6225
4;collection collect all;neo4j;100;1;0;build;19;75
4;collection collect all;neo4j;100;1;0;exec;19;9406
4;collection collect all;neo4j;100;1;0;total;19;9481
4;collection collect all;postgres;100;1;0;build;20;133
4;collection collect all;postgres;100;1;0;exec;20;864
4;collection collect all;postgres;100;1;0;total;20;998
4;collection collect all;mongo;100;1;0;build;20;2710
4;collection collect all;mongo;100;1;0;exec;20;2325
4;collection collect all;mongo;100;1;0;total;20;5036
4;collection collect all;neo4j;100;1;0;build;20;71
4;collection collect all;neo4j;100;1;0;exec;20;10213
4;collection collect all;neo4j;100;1;0;total;20;10284
4;collection collect all;postgres;100;1;0;build;21;193
4;collection collect all;postgres;100;1;0;exec;21;854
4;collection collect all;postgres;100;1;0;total;21;1048
4;collection collect all;mongo;100;1;0;build;21;2613
4;collection collect all;mongo;100;1;0;exec;21;2185
4;collection collect all;mongo;100;1;0;total;21;4798
4;collection collect all;neo4j;100;1;0;build;21;66
4;collection collect all;neo4j;100;1;0;exec;21;10188
4;collection collect all;neo4j;100;1;0;total;21;10255
4;collection collect all;postgres;100;1;0;build;22;197
4;collection collect all;postgres;100;1;0;exec;22;998
4;collection collect all;postgres;100;1;0;total;22;1195
4;collection collect all;mongo;100;1;0;build;22;2760
4;collection collect all;mongo;100;1;0;exec;22;2376
4;collection collect all;mongo;100;1;0;total;22;5137
4;collection collect all;neo4j;100;1;0;build;22;58
4;collection collect all;neo4j;100;1;0;exec;22;10279
4;collection collect all;neo4j;100;1;0;total;22;10337
4;collection collect all;postgres;100;1;0;build;23;214
4;collection collect all;postgres;100;1;0;exec;23;1109
4;collection collect all;postgres;100;1;0;total;23;1323
4;collection collect all;mongo;100;1;0;build;23;2621
4;collection collect all;mongo;100;1;0;exec;23;2196
4;collection collect all;mongo;100;1;0;total;23;4817
4;collection collect all;neo4j;100;1;0;build;23;65
4;collection collect all;neo4j;100;1;0;exec;23;10455
4;collection collect all;neo4j;100;1;0;total;23;10521
4;collection collect all;postgres;100;1;0;build;24;133
4;collection collect all;postgres;100;1;0;exec;24;718
4;collection collect all;postgres;100;1;0;total;24;852
4;collection collect all;mongo;100;1;0;build;24;2551
4;collection collect all;mongo;100;1;0;exec;24;2216
4;collection collect all;mongo;100;1;0;total;24;4767
4;collection collect all;neo4j;100;1;0;build;24;59
4;collection collect all;neo4j;100;1;0;exec;24;10233
4;collection collect all;neo4j;100;1;0;total;24;10292
4;collection collect all;postgres;100;1;0;build;25;182
4;collection collect all;postgres;100;1;0;exec;25;821
4;collection collect all;postgres;100;1;0;total;25;1003
4;collection collect all;mongo;100;1;0;build;25;3107
4;collection collect all;mongo;100;1;0;exec;25;2762
4;collection collect all;mongo;100;1;0;total;25;5869
4;collection collect all;neo4j;100;1;0;build;25;65
4;collection collect all;neo4j;100;1;0;exec;25;8980
4;collection collect all;neo4j;100;1;0;total;25;9046
4;collection collect all;postgres;100;1;0;build;26;147
4;collection collect all;postgres;100;1;0;exec;26;1230
4;collection collect all;postgres;100;1;0;total;26;1377
4;collection collect all;mongo;100;1;0;build;26;2464
4;collection collect all;mongo;100;1;0;exec;26;2119
4;collection collect all;mongo;100;1;0;total;26;4584
4;collection collect all;neo4j;100;1;0;build;26;83
4;collection collect all;neo4j;100;1;0;exec;26;8730
4;collection collect all;neo4j;100;1;0;total;26;8813
4;collection collect all;postgres;100;1;0;build;27;150
4;collection collect all;postgres;100;1;0;exec;27;835
4;collection collect all;postgres;100;1;0;total;27;986
4;collection collect all;mongo;100;1;0;build;27;2258
4;collection collect all;mongo;100;1;0;exec;27;1921
4;collection collect all;mongo;100;1;0;total;27;4179
4;collection collect all;neo4j;100;1;0;build;27;59
4;collection collect all;neo4j;100;1;0;exec;27;8557
4;collection collect all;neo4j;100;1;0;total;27;8617
4;collection collect all;postgres;100;1;0;build;28;118
4;collection collect all;postgres;100;1;0;exec;28;763
4;collection collect all;postgres;100;1;0;total;28;881
4;collection collect all;mongo;100;1;0;build;28;2698
4;collection collect all;mongo;100;1;0;exec;28;2365
4;collection collect all;mongo;100;1;0;total;28;5064
4;collection collect all;neo4j;100;1;0;build;28;62
4;collection collect all;neo4j;100;1;0;exec;28;8470
4;collection collect all;neo4j;100;1;0;total;28;8532
4;collection collect all;postgres;100;1;0;build;29;166
4;collection collect all;postgres;100;1;0;exec;29;938
4;collection collect all;postgres;100;1;0;total;29;1104
4;collection collect all;mongo;100;1;0;build;29;2808
4;collection collect all;mongo;100;1;0;exec;29;2469
4;collection collect all;mongo;100;1;0;total;29;5278
4;collection collect all;neo4j;100;1;0;build;29;74
4;collection collect all;neo4j;100;1;0;exec;29;9954
4;collection collect all;neo4j;100;1;0;total;29;10029
4;collection collect all;postgres;100;1;0;build;30;130
4;collection collect all;postgres;100;1;0;exec;30;920
4;collection collect all;postgres;100;1;0;total;30;1050
4;collection collect all;mongo;100;1;0;build;30;3303
4;collection collect all;mongo;100;1;0;exec;30;2954
4;collection collect all;mongo;100;1;0;total;30;6258
4;collection collect all;neo4j;100;1;0;build;30;63
4;collection collect all;neo4j;100;1;0;exec;30;9143
4;collection collect all;neo4j;100;1;0;total;30;9206
4;collection collect all;postgres;100;1;0;build;31;113
4;collection collect all;postgres;100;1;0;exec;31;813
4;collection collect all;postgres;100;1;0;total;31;927
4;collection collect all;mongo;100;1;0;build;31;2928
