collection_size;result_size
100;1
100;0
100;0
100;0
100;1
100;0
100;0
100;32
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;21
100;0
100;16
100;0
100;25
100;0
100;0
100;0
100;77
100;1
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;22
100;0
100;0
100;0
100;15
100;0
100;0
100;32
100;0
100;9
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;1
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;1
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;5
100;0
100;0
100;0
100;5
100;5
100;4
100;131
100;8
100;22
100;0
100;28
100;17
100;0
100;5
100;150
100;26
100;214
100;0
100;7
100;188
100;0
100;8
100;0
100;0
100;0
100;44
100;0
100;9
100;0
100;0
100;0
100;0
100;0
100;0
100;10
100;4
100;0
100;145
100;0
100;229
100;245
100;107
100;122
100;189
100;0
100;162
100;0
100;279
100;6
100;1
100;0
100;0
100;0
100;17
100;0
100;0
100;0
100;0
100;0
100;42
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;1
100;0
100;0
100;0
100;0
100;0
100;0
100;1
100;0
100;0
100;0
100;0
100;1
100;22
100;0
100;0
100;0
100;5
100;2
100;0
100;0
100;0
100;1
100;0
100;0
100;1
100;0
100;5
100;20
100;2
100;2
100;0
100;0
100;0
100;0
100;8
100;7
100;10
100;0
100;27
100;2
100;0
100;20
100;0
100;4
100;15
100;1
100;4
100;0
100;27
100;3
100;0
100;0
100;0
100;0
100;23
100;0
100;0
100;0
100;0
100;0
100;261
100;0
100;0
100;6
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;16
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;12
100;50
100;4
100;0
100;0
100;3
100;0
100;3
100;3
100;0
100;10
100;1
100;2
100;0
100;2
100;10
100;7
100;6
100;95
100;41
100;0
100;5
100;2
100;0
100;28
100;33
100;0
100;302
100;23
100;23
100;23
100;0
100;79
100;447
100;51
100;8
100;18
100;437
100;16
100;6
100;0
100;3
100;18
100;71
100;15
100;90
100;333
100;0
100;0
100;8
100;172
100;160
100;30
100;0
100;133
100;30
100;22
100;0
100;53
100;40
100;33
100;0
100;0
100;0
100;636
100;55
100;0
100;0
100;50
100;0
100;440
100;0
100;0
100;3
100;0
100;33
100;0
100;0
100;0
100;96
100;0
100;4
100;30
100;0
100;3
100;30
100;0
100;16
100;16
100;0
100;3
100;246
100;4
100;47
100;0
100;0
100;188
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;6
100;10
100;314
100;101
100;121
100;0
100;73
100;0
100;0
100;0
100;4
100;203
100;17
100;26
100;41
100;20
100;5
100;56
100;2
100;19
100;36
100;12
100;0
100;58
100;31
100;0
100;32
100;57
100;306
100;26
100;10
100;3
100;102
100;104
100;28
100;0
100;0
100;0
100;20
100;0
100;23
100;0
100;0
100;0
100;0
100;0
100;56
100;28
100;0
100;0
100;444
100;16
100;0
100;123
100;38
100;207
100;30
100;68
100;10
100;0
100;0
100;0
100;0
100;112
100;56
100;187
100;0
100;28
100;1422
100;0
100;95
100;0
100;9
100;240
100;12
100;2962
100;4
100;0
100;0
100;0
100;3
100;4
100;4
100;107
100;0
100;2
100;0
100;2
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;21
100;0
100;0
100;147
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;184
100;0
100;69
100;0
100;0
100;0
100;0
100;115
100;0
100;0
100;128
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;1
100;0
100;0
100;0
100;0
100;0
100;0
100;29
100;0
100;0
100;0
100;0
100;10
100;0
100;0
100;0
100;0
100;1
100;52
100;2
100;0
100;0
100;1
100;80
100;50
100;5
100;33
100;166
100;28
100;0
100;0
100;0
100;0
100;0
100;0
100;2
100;34
100;0
100;0
100;0
100;0
100;91
100;52
100;50
100;0
100;0
100;62
100;0
100;16
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
