run_id;query_shape;driver;collection_size;depth;filter_count;phase;iteration;duration
3;collection collect all;postgres;100;1;0;exec;12;1151
3;collection collect all;postgres;100;1;0;total;12;1354
3;collection collect all;mongo;100;1;0;build;12;587
3;collection collect all;mongo;100;1;0;exec;12;3868
3;collection collect all;mongo;100;1;0;total;12;4455
3;collection collect all;neo4j;100;1;0;build;12;100
3;collection collect all;neo4j;100;1;0;exec;12;11827
3;collection collect all;neo4j;100;1;0;total;12;11927
3;collection collect all;postgres;100;1;0;build;13;158
3;collection collect all;postgres;100;1;0;exec;13;1517
3;collection collect all;postgres;100;1;0;total;13;1675
3;collection collect all;mongo;100;1;0;build;13;512
3;collection collect all;mongo;100;1;0;exec;13;2838
3;collection collect all;mongo;100;1;0;total;13;3350
3;collection collect all;neo4j;100;1;0;build;13;59
3;collection collect all;neo4j;100;1;0;exec;13;10631
3;collection collect all;neo4j;100;1;0;total;13;10690
3;collection collect all;postgres;100;1;0;build;14;248
3;collection collect all;postgres;100;1;0;exec;14;999
3;collection collect all;postgres;100;1;0;total;14;1248
3;collection collect all;mongo;100;1;0;build;14;502
3;collection collect all;mongo;100;1;0;exec;14;2818
3;collection collect all;mongo;100;1;0;total;14;3320
3;collection collect all;neo4j;100;1;0;build;14;77
3;collection collect all;neo4j;100;1;0;exec;14;11125
3;collection collect all;neo4j;100;1;0;total;14;11202
3;collection collect all;postgres;100;1;0;build;15;203
3;collection collect all;postgres;100;1;0;exec;15;1298
3;collection collect all;postgres;100;1;0;total;15;1501
3;collection collect all;mongo;100;1;0;build;15;502
3;collection collect all;mongo;100;1;0;exec;15;2471
3;collection collect all;mongo;100;1;0;total;15;2973
3;collection collect all;neo4j;100;1;0;build;15;76
3;collection collect all;neo4j;100;1;0;exec;15;8544
3;collection collect all;neo4j;100;1;0;total;15;8620
3;collection collect all;postgres;100;1;0;build;16;123
3;collection collect all;postgres;100;1;0;exec;16;826
3;collection collect all;postgres;100;1;0;total;16;949
3;collection collect all;mongo;100;1;0;build;16;526
