strategy;target_driver;relative_diff;form_weight
ml_model;postgres;0.09704404312019503;2.1481481481481484
ml_model;postgres;0.09704404312019503;2.1481481481481484
ml_model;postgres;0.08435800696523497;2.1481481481481484
ml_model;postgres;0.08435800696523497;2.1481481481481484
ml_model;postgres;-0.04498405614121308;0.40576902378646
ml_model;postgres;-0.04498405614121308;0.40576902378646
ml_model;postgres;-0.04498405614121308;0.40576902378646
ml_model;postgres;-0.04498405614121308;0.40576902378646
ml_model;postgres;-0.13630765679031373;0.40576902378646
ml_model;postgres;0.00832696821647463;0.40576902378646
ml_model;postgres;0.00832696821647463;0.40576902378646
ml_model;postgres;-0.43725254227155125;0.40576902378646
ml_model;postgres;-0.43725254227155125;0.40576902378646
ml_model;postgres;0.05668029067423749;2.1481481481481484
ml_model;postgres;0.05668029067423749;2.1481481481481484
ml_model;postgres;0.05668029067423749;2.1481481481481484
ml_model;postgres;0.05668029067423749;2.1481481481481484
ml_model;postgres;0.05668029067423749;2.1481481481481484
ml_model;postgres;0.31454810715954723;2.1481481481481484
ml_model;postgres;0.31454810715954723;2.1481481481481484
ml_model;postgres;0.31454810715954723;2.1481481481481484
ml_model;postgres;0.31454810715954723;2.1481481481481484
ml_model;postgres;0.31454810715954723;2.1481481481481484
ml_model;postgres;-0.30765680396771355;0.40576902378646
ml_model;postgres;-0.3920097006369171;0.40576902378646
ml_model;postgres;-0.5581040870410574;0.40576902378646
ml_model;postgres;0.0864089071528176;0.40576902378646
ml_model;postgres;0.0864089071528176;0.40576902378646
ml_model;postgres;0.0864089071528176;0.40576902378646
ml_model;postgres;-0.3239974355551339;0.40576902378646
ml_model;postgres;-0.3239974355551339;0.40576902378646
ml_model;postgres;-0.3239974355551339;0.40576902378646
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.10746123062610377;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
ml_model;postgres;0.08329202351037487;2.1481481481481484
