driver;count;mean;std;min;25%;50%;75%;max
mongo;3267.0;0.21709858916854086;0.21030856894762462;0.004078675339956562;0.0991324876918491;0.12643299952196183;0.2269268187718504;1.315892573902801
neo4j;3355.0;0.18556131560026412;0.11403011595055476;0.0032296457933041604;0.1292291941491457;0.14876262143027336;0.18213654445385413;0.7109784314133513
postgres;3440.0;0.24540395774549809;0.20013306247748336;0.0010514204658896588;0.09854237615295228;0.14477683303499772;0.37979106759629055;1.2231065823243348
