driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
neo4j,"deep sub collection child, grandchild and parent range filter",total,2948.0,2678.7442333785616,2183.0,1320.0463132552488,0.4927854988194758,1029.0,4631.200000000001,4890.65,5407.730000000009,7223.0
postgres,"deep sub collection child, grandchild and parent range filter",total,2948.0,1284.3537991858886,1200.5,535.3236385847705,0.41680387360873244,513.0,2060.3,2144.9500000000003,2308.120000000001,2935.0
mongo,deep sub collection collect all,build,912.0,937.4144736842105,928.0,88.58634447219006,0.09450072188882418,785.0,1055.9,1100.4499999999998,1185.4499999999998,1208.0
neo4j,deep sub collection collect all,build,838.0,5.615751789976134,6.0,0.8049073474380484,0.14333029263771452,4.0,7.0,7.0,7.0,7.0
postgres,deep sub collection collect all,build,871.0,44.81859931113662,41.0,9.142130507694782,0.20398072782750098,33.0,58.0,65.0,74.0,74.0
mongo,deep sub collection collect all,exec,915.0,1627.9125683060108,1580.0,180.27510282189476,0.11074003993315636,1249.0,1901.2,1976.3,2114.6000000000004,2160.0
neo4j,deep sub collection collect all,exec,879.0,2080.353811149033,2035.0,163.38856576347916,0.07853883550377205,1678.0,2314.0,2428.1,2529.9800000000005,2575.0
postgres,deep sub collection collect all,exec,894.0,969.0302013422819,961.0,96.9304375578455,0.10002829367297256,797.0,1116.7,1159.3999999999996,1236.07,1252.0
mongo,deep sub collection collect all,total,900.0,2563.9944444444445,2524.0,221.36134817354238,0.0863345662285575,2074.0,2889.0,2994.1,3162.09,3223.0
neo4j,deep sub collection collect all,total,880.0,2088.471590909091,2044.0,165.81273374875056,0.07939429699236364,1684.0,2331.5,2439.1,2550.5200000000004,2593.0
postgres,deep sub collection collect all,total,897.0,1018.0936454849499,1005.0,102.21001081117984,0.10039352594376916,836.0,1166.0,1217.3999999999999,1300.08,1316.0
mongo,deep sub collection collect all only,build,912.0,705.7828947368421,684.0,53.594474922467825,0.07593620548490487,626.0,798.0,812.0,851.0,863.0
neo4j,deep sub collection collect all only,build,896.0,5.353794642857143,5.0,0.6608333136244343,0.1234326973123813,4.0,6.0,7.0,7.0,7.0
postgres,deep sub collection collect all only,build,832.0,21.578125,21.0,2.451189420017117,0.1135960339472089,17.0,25.0,27.0,29.0,30.0
mongo,deep sub collection collect all only,exec,924.0,1529.6807359307359,1499.5,136.5230637319891,0.08924938421802214,1237.0,1727.4,1783.6999999999998,1928.1599999999999,1958.0
neo4j,deep sub collection collect all only,exec,887.0,1693.7012401352874,1668.0,103.00246456888271,0.06081501396353421,1392.0,1846.0,1903.6999999999998,1976.1399999999999,2005.0
postgres,deep sub collection collect all only,exec,873.0,583.3562428407789,586.0,63.15535498223239,0.10826207100258974,482.0,674.0,705.8,761.56,776.0
mongo,deep sub collection collect all only,total,920.0,2240.8597826086957,2229.0,167.7531637617442,0.07486107121189638,1875.0,2467.0,2555.25,2713.769999999999,2760.0
neo4j,deep sub collection collect all only,total,887.0,1700.064261555806,1674.0,103.32770927789767,0.06077870796680226,1397.0,1855.0,1909.0,1981.28,2011.0
postgres,deep sub collection collect all only,total,873.0,607.3871706758305,609.0,64.22124473713245,0.10573362072444574,503.0,699.0,730.0,785.1199999999999,811.0
mongo,deep sub collection equality,build,2946.0,677.4864222674813,409.0,556.2494725452995,0.8210488863874001,130.0,1341.5,1681.5,2200.9000000000033,2809.0
neo4j,deep sub collection equality,build,2601.0,6.322183775470973,6.0,0.9029886267610131,0.14282859512316926,5.0,7.0,8.0,8.0,8.0
postgres,deep sub collection equality,build,2535.0,43.10019723865878,42.0,4.19796949363936,0.09740023857417492,34.0,49.0,52.0,56.0,58.0
mongo,deep sub collection equality,exec,2950.0,5042.740677966101,3346.5,4149.774779403785,0.8229205196959527,782.0,10976.3,11273.849999999999,12131.689999999995,13701.0
neo4j,deep sub collection equality,exec,2948.0,3482.2879918588874,2760.5,2194.6540616044795,0.6302333600021826,884.0,6629.3,6849.950000000001,7536.010000000004,12394.0
postgres,deep sub collection equality,exec,2950.0,2062.424745762712,1500.5,1441.9841421187425,0.6991693370055437,454.0,4166.299999999999,4330.299999999998,4548.549999999999,7251.0
mongo,deep sub collection equality,total,2950.0,5724.712542372881,3778.0,4679.61579837767,0.8174411839442298,919.0,12404.3,12962.149999999996,13842.529999999999,15279.0
neo4j,deep sub collection equality,total,2948.0,3489.6390773405697,2768.0,2195.2545922506392,0.6290778340101658,889.0,6637.0,6857.950000000001,7543.480000000003,12403.0
postgres,deep sub collection equality,total,2950.0,2113.7149152542374,1561.0,1443.3699578697833,0.6828593333250784,489.0,4215.1,4384.099999999999,4605.139999999997,7330.0
mongo,deep sub collection get one by id,build,2888.0,118.0654432132964,109.0,31.634465291220096,0.26794008839715644,45.0,175.0,187.0,193.0,199.0
neo4j,deep sub collection get one by id,build,2392.0,6.2370401337792645,6.0,0.7448690357682501,0.11942668634343148,5.0,7.0,8.0,8.0,8.0
