query_shape,phase,driver_a,driver_b,median_a,median_b,p_value,cliffs_delta
deep sub collection grand child range filter,build,mongo,postgres,7857.5,44.0,0.0,1.0
deep sub collection grand child range filter,build,neo4j,postgres,8.0,44.0,0.0,-1.0
deep sub collection id in list,build,mongo,neo4j,275.0,14.0,0.0,1.0
deep sub collection id in list,build,mongo,postgres,275.0,47.0,0.0,1.0
deep sub collection id in list,build,neo4j,postgres,14.0,47.0,0.0,-1.0
deep sub collection id in list only,build,mongo,neo4j,270.0,13.0,0.0,1.0
deep sub collection id in list only,build,mongo,postgres,270.0,30.0,0.0,1.0
deep sub collection id in list only,build,neo4j,postgres,13.0,30.0,0.0,-1.0
deep sub collection parent range filter,build,mongo,neo4j,370.0,8.0,0.0,1.0
deep sub collection parent range filter,build,mongo,postgres,370.0,41.0,0.0,1.0
deep sub collection parent range filter,build,neo4j,postgres,8.0,41.0,0.0,-1.0
dynamic collection all,build,mongo,neo4j,69.0,8.0,7.032110234847706e-292,1.0
dynamic collection all,build,mongo,postgres,69.0,21.0,1.0692604352013382e-297,1.0
dynamic collection all,build,neo4j,postgres,8.0,21.0,3.2109741090085437e-302,-1.0
dynamic collection all only,build,mongo,neo4j,45.0,8.0,9.733062765566181e-296,1.0
dynamic collection all only,build,mongo,postgres,45.0,25.0,1.6471748292538345e-288,0.9997064641529088
dynamic collection all only,build,neo4j,postgres,8.0,25.0,1.2793604102528745e-306,-1.0
dynamic collection all range filter,build,mongo,neo4j,38.0,10.0,0.0,1.0
dynamic collection all range filter,build,mongo,postgres,38.0,32.0,6.784089047569694e-10,0.09352535211066274
dynamic collection all range filter,build,neo4j,postgres,10.0,32.0,0.0,-1.0
dynamic collection all string equality filter,build,mongo,neo4j,22.0,10.0,0.0,0.9973252671330496
dynamic collection all string equality filter,build,mongo,postgres,22.0,36.0,0.0,-0.6115248107622044
dynamic collection all string equality filter,build,neo4j,postgres,10.0,36.0,0.0,-1.0
dynamic collection all string in list filter,build,mongo,neo4j,52.0,14.0,0.0,0.998654726846846
dynamic collection all string in list filter,build,mongo,postgres,52.0,31.0,2.9276213862285082e-142,0.3835057134778002
dynamic collection all string in list filter,build,neo4j,postgres,14.0,31.0,0.0,-0.9990634229715895
dynamic collection all uuid equality filter,build,mongo,neo4j,21.0,11.0,0.0,0.9945138356663502
dynamic collection all uuid equality filter,build,mongo,postgres,21.0,31.0,0.0,-0.9727081567285016
dynamic collection all uuid equality filter,build,neo4j,postgres,11.0,31.0,0.0,-0.9998847452841317
dynamic collection only range filter,build,mongo,neo4j,29.0,11.0,0.0,0.9998611658072085
dynamic collection only range filter,build,mongo,postgres,29.0,26.0,1.120707354416555e-62,0.25700003950175127
dynamic collection only range filter,build,neo4j,postgres,11.0,26.0,0.0,-0.9992353379977884
sub collection child and parent range filter,build,mongo,neo4j,220.0,12.0,0.0,1.0
sub collection child and parent range filter,build,mongo,postgres,220.0,34.0,0.0,1.0
sub collection child and parent range filter,build,neo4j,postgres,12.0,34.0,0.0,-1.0
sub collection child range filter,build,mongo,neo4j,406.5,11.0,0.0,1.0
sub collection child range filter,build,mongo,postgres,406.5,33.0,0.0,1.0
sub collection child range filter,build,neo4j,postgres,11.0,33.0,0.0,-1.0
sub collection collect all,build,mongo,neo4j,735.0,17.0,7.226962621142015e-284,1.0
sub collection collect all,build,mongo,postgres,735.0,41.0,5.024603344883241e-295,1.0
sub collection collect all,build,neo4j,postgres,17.0,41.0,2.720914246982079e-295,-1.0
sub collection collect all only,build,mongo,neo4j,295.0,15.0,1.5229825846346295e-281,1.0
sub collection collect all only,build,mongo,postgres,295.0,21.0,2.465284583035308e-297,1.0
sub collection collect all only,build,neo4j,postgres,15.0,21.0,3.4427433173477665e-292,-0.9994322808995802
sub collection equality,build,mongo,neo4j,587.0,9.0,0.0,1.0
sub collection equality,build,mongo,postgres,587.0,31.0,0.0,1.0
sub collection equality,build,neo4j,postgres,9.0,31.0,0.0,-1.0
sub collection get one by id,build,mongo,neo4j,54.0,8.0,0.0,1.0
sub collection get one by id,build,mongo,postgres,54.0,30.0,0.0,0.9992150895017099
sub collection get one by id,build,neo4j,postgres,8.0,30.0,0.0,-1.0
sub collection id in list,build,mongo,neo4j,259.0,13.0,0.0,1.0
sub collection id in list,build,mongo,postgres,259.0,37.0,0.0,1.0
sub collection id in list,build,neo4j,postgres,13.0,37.0,0.0,-1.0
sub collection id in list only,build,mongo,neo4j,240.0,13.0,0.0,1.0
sub collection id in list only,build,mongo,postgres,240.0,36.0,0.0,1.0
sub collection id in list only,build,neo4j,postgres,13.0,36.0,0.0,-1.0
sub collection parent range filter,build,mongo,neo4j,280.0,11.0,0.0,1.0
sub collection parent range filter,build,mongo,postgres,280.0,33.0,0.0,1.0
sub collection parent range filter,build,neo4j,postgres,11.0,33.0,0.0,-1.0
sub collection string equality,build,mongo,neo4j,77.0,9.0,0.0,1.0
sub collection string equality,build,mongo,postgres,77.0,32.0,0.0,0.9759268510469238
sub collection string equality,build,neo4j,postgres,9.0,32.0,0.0,-1.0
sub collection string in list,build,mongo,neo4j,304.0,12.0,0.0,1.0
sub collection string in list,build,mongo,postgres,304.0,36.0,0.0,1.0
sub collection string in list,build,neo4j,postgres,12.0,36.0,0.0,-1.0
very deep sub collection all,build,mongo,neo4j,1383.0,8.0,5.774080313431192e-300,1.0
very deep sub collection all,build,mongo,postgres,1383.0,116.0,6.199225382569617e-299,1.0
very deep sub collection all,build,neo4j,postgres,8.0,116.0,1.2988492915715e-310,-1.0
very deep sub collection all only,build,mongo,neo4j,1165.0,7.0,2.1897787376762023e-304,1.0
very deep sub collection all only,build,mongo,postgres,1165.0,38.0,7.869251000718547e-295,1.0
very deep sub collection all only,build,neo4j,postgres,7.0,38.0,0.0,-1.0
very deep sub collection filter all only,build,mongo,neo4j,746.5,9.0,0.0,1.0
very deep sub collection filter all only,build,mongo,postgres,746.5,40.0,0.0,1.0
very deep sub collection filter all only,build,neo4j,postgres,9.0,40.0,0.0,-1.0
very deep sub collection id in list,build,mongo,neo4j,363.0,15.0,0.0,1.0
very deep sub collection id in list,build,mongo,postgres,363.0,69.0,0.0,1.0
very deep sub collection id in list,build,neo4j,postgres,15.0,69.0,0.0,-1.0
very deep sub collection id in list only,build,mongo,neo4j,342.0,14.0,0.0,1.0
very deep sub collection id in list only,build,mongo,postgres,342.0,40.0,0.0,1.0
very deep sub collection id in list only,build,neo4j,postgres,14.0,40.0,0.0,-1.0
very deep sub collection int equality middle only,build,mongo,neo4j,7672.5,9.0,0.0,1.0
very deep sub collection int equality middle only,build,mongo,postgres,7672.5,60.0,0.0,1.0
very deep sub collection int equality middle only,build,neo4j,postgres,9.0,60.0,0.0,-1.0
very deep sub collection int equality only,build,mongo,neo4j,745.0,8.0,0.0,1.0
very deep sub collection int equality only,build,mongo,postgres,745.0,35.0,0.0,1.0
very deep sub collection int equality only,build,neo4j,postgres,8.0,35.0,0.0,-1.0
very deep sub collection one doc by id only,build,mongo,neo4j,179.0,8.0,0.0,1.0
very deep sub collection one doc by id only,build,mongo,postgres,179.0,34.0,0.0,0.9999687762230939
very deep sub collection one doc by id only,build,neo4j,postgres,8.0,34.0,0.0,-1.0
very deep sub collection string equality multiple only,build,mongo,neo4j,208.0,8.0,0.0,1.0
very deep sub collection string equality multiple only,build,mongo,postgres,208.0,35.0,0.0,1.0
very deep sub collection string equality multiple only,build,neo4j,postgres,8.0,35.0,0.0,-1.0
very deep sub collection string equality only,build,mongo,neo4j,178.0,8.0,0.0,1.0
very deep sub collection string equality only,build,mongo,postgres,178.0,35.0,0.0,1.0
very deep sub collection string equality only,build,neo4j,postgres,8.0,35.0,0.0,-1.0
very deep sub collection string in list only,build,mongo,neo4j,514.0,12.0,0.0,1.0
very deep sub collection string in list only,build,mongo,postgres,514.0,38.0,0.0,1.0
very deep sub collection string in list only,build,neo4j,postgres,12.0,38.0,0.0,-1.0
